# Constructed from biom file
#OTU ID	gutmock00S01	gutmock01S01	gutmock02S01	gutmock03S01	gutmock04S01
25a5179d06c53c077411c1985110c428	36.0	45.0	31.0	16.0	31.0
2ffe483ee8adbc79c75eaad87973b4f7	24.0	36.0	41.0	27.0	31.0
5f94927b66347467f49e581c514e535b	31.0	18.0	35.0	34.0	39.0
084b6386343c4c7acc147bf3b5e0dc60	29.0	40.0	27.0	31.0	29.0
d3063f003a05210dabfe6f86ce6c50ae	41.0	18.0	42.0	36.0	19.0
9fd546ee32a8757ab7d3a12e37f3b96d	37.0	44.0	35.0	0.0	37.0
b51a35e079a9475268a43cd12104441a	74.0	62.0	13.0	0.0	0.0
dfe1b63fe9f7aa093a155f87fe541227	45.0	23.0	8.0	32.0	38.0
5402fec78f707b64ea00a1e1546b343e	39.0	0.0	28.0	0.0	75.0
7b90d8f5e004acf970558cb6a2c49a33	24.0	28.0	33.0	26.0	29.0
772d3711c44fe56b36161dee5452da8f	62.0	16.0	30.0	0.0	30.0
296a716a5c1875c89d24beabf06e8aee	36.0	0.0	10.0	50.0	41.0
653d73bc941e94ff2e6d90aca410e785	10.0	28.0	35.0	16.0	48.0
203b2139686d134681451e1aef599f58	25.0	25.0	15.0	32.0	38.0
37e16260991f1586f93134f51322d025	27.0	39.0	65.0	0.0	0.0
551b30facae14048ab885c726e9472a9	30.0	56.0	45.0	0.0	0.0
cdfb5207f812ad1d6a5711536a6fc93d	40.0	15.0	0.0	38.0	37.0
7df5fd76f97713acc93a2585f0d00c79	31.0	18.0	16.0	36.0	27.0
51da264f60f339fc83e12be8376c34a0	26.0	23.0	29.0	24.0	25.0
6ba7065e1f124cd38f09365386f90159	15.0	23.0	39.0	27.0	22.0
6a8cda6c47af5ba52509bf652960be30	0.0	28.0	44.0	0.0	48.0
a1982f90553c6fabdbc0b73fb0c8dd90	10.0	32.0	27.0	15.0	35.0
ca6981b3a843585a5419ae4ba423b8ea	43.0	0.0	20.0	21.0	34.0
c495c2b6dbac5d82cd870567f7785e70	0.0	48.0	26.0	10.0	31.0
c6f0b4c0a432748372952c0df9b5c137	26.0	33.0	29.0	26.0	0.0
40b00008144af8fbb7a11048f4c38f1a	39.0	0.0	73.0	0.0	0.0
dc7a9a43b00576cd235df38feb27ab53	17.0	6.0	6.0	82.0	0.0
236f01c5d709585efdbb9304883d7396	25.0	29.0	34.0	6.0	17.0
3c430335dc8f1bdf178bacaabc76944f	11.0	43.0	13.0	33.0	9.0
59512ab8d95b7a28502b943d362944ea	18.0	19.0	45.0	19.0	6.0
2cdf972f5489e92001412f39beacbb93	11.0	22.0	36.0	30.0	6.0
9cdf33a772dc08e9487d70f8d5315693	9.0	5.0	0.0	84.0	4.0
055a15b34da11d79ecd9a3fcf17a3cb9	0.0	0.0	0.0	38.0	64.0
692898624098d768de86141839b7b7a6	0.0	41.0	26.0	34.0	0.0
2e70dd66535fdedcee5618b7144cb1fc	32.0	34.0	33.0	0.0	0.0
4ec57071f4e17875f9e7b41622868514	20.0	8.0	26.0	20.0	22.0
64ce5af41454d43f86283773b96485bd	32.0	21.0	12.0	19.0	12.0
b69b1728e1fbdfd5aa47cf38d333f8e2	17.0	13.0	0.0	0.0	65.0
193459f6b14d89ebe51fa7226af0446c	60.0	0.0	0.0	0.0	35.0
c6da743e2ec0223b3cb412ccf1f0d357	26.0	0.0	25.0	44.0	0.0
e18a0ddeba869b98f712a1610ae9c8a1	10.0	25.0	7.0	40.0	12.0
382d6df074a398e7e979979d49dc2aea	13.0	10.0	0.0	64.0	5.0
77b1f0f02919bc2dbf0f0ffa571da526	15.0	15.0	36.0	10.0	15.0
7f90deae9fbe65e01da42d03065e9de8	11.0	31.0	25.0	0.0	24.0
6dd5258357a30ad57f17149207a9e2e4	11.0	8.0	33.0	16.0	22.0
e61004765b9b148b2cf52da2f2d1178e	21.0	0.0	20.0	20.0	27.0
d2aac02889f091eb2f81a05b3df09847	0.0	0.0	15.0	0.0	70.0
a7eb9a6ebcbf374f5c633ff812df9aa4	0.0	17.0	20.0	16.0	30.0
5066049e403cffb5b404cf8d96d7c7ab	20.0	29.0	7.0	15.0	11.0
1a414f70fb4fe648bb77f480c912b066	12.0	25.0	14.0	14.0	16.0
c859e3b10a99825df9491bbe6ab3d383	4.0	29.0	18.0	6.0	23.0
f0164ed1eaa089906f12751ba2f83322	36.0	6.0	0.0	27.0	9.0
1dbe70544d0193741895612c9835ac6c	15.0	32.0	12.0	0.0	19.0
8db98b20da406bb0d7d56f65869e753f	17.0	21.0	20.0	6.0	14.0
c4b1f5a523e38d62684b7d74f0304b10	15.0	21.0	16.0	12.0	12.0
c69c80f4405fda59de1ba7896712afce	13.0	6.0	10.0	15.0	31.0
fd4939e0029d8d8a5d78576599a063fb	0.0	21.0	24.0	13.0	17.0
a1a555220a2201e8d3a99023fc46da92	0.0	0.0	0.0	44.0	31.0
38e4de528eda7507a8de6d4611c31aa0	34.0	0.0	0.0	40.0	0.0
788c3f5af5ed823cd7146a48f82a11ba	24.0	6.0	0.0	35.0	6.0
ef3ba7d8ab5b16c9bed3c5f9744bfb36	0.0	0.0	0.0	34.0	37.0
9b189e42b289f22808ae5ac79b96aea0	25.0	0.0	9.0	22.0	13.0
7e0f502afe76a34131118c814e3c121f	9.0	7.0	17.0	14.0	18.0
3682de8944658abe18a199155ab223c9	15.0	7.0	18.0	6.0	18.0
1ba90598423853d97443fbb2faa4f33e	31.0	3.0	0.0	21.0	6.0
904e352fbfcb7ba293c73d918ce5d95e	10.0	15.0	11.0	14.0	10.0
260902103c963a90e1f4f8807f774608	7.0	17.0	6.0	20.0	9.0
3a5296401372894dec654ea844ce153c	20.0	8.0	0.0	10.0	20.0
5426c00141f9e5e5cbeb06abd2829893	13.0	10.0	14.0	12.0	9.0
38243e7b05b9601e11afb6fc21fa3b7b	14.0	0.0	11.0	32.0	0.0
7af32783ff48098bc85dc371d8a30d3f	0.0	26.0	0.0	0.0	31.0
fac89877eee1228c535a91627c0086cd	0.0	22.0	8.0	16.0	9.0
eb03ba08d9e0409e361b88411e8ec95d	0.0	0.0	0.0	55.0	0.0
fdb7e496e6772eb2ef173cc525bb2fe2	16.0	0.0	6.0	25.0	7.0
20b571afe9d15baa7f53c7f5a319a0f5	0.0	32.0	0.0	22.0	0.0
f57f04f6e7e4f2bb284333d68b0b7acb	0.0	0.0	4.0	47.0	0.0
26b99a7d950cca868e5ad445cde8e2b8	13.0	0.0	0.0	12.0	25.0
556caf819c80a31bc8dd75a6fcaf0a60	5.0	14.0	8.0	22.0	0.0
465bf9cc6dae8b35f0e6b836222dee59	0.0	37.0	12.0	0.0	0.0
08f49047b86ab70fd337764360108659	20.0	0.0	0.0	15.0	13.0
5b4d07ef9009fd43ed0915ce760e7a56	12.0	8.0	12.0	0.0	16.0
868daa709a77b9696ccdc281a1269e36	48.0	0.0	0.0	0.0	0.0
41f80052b3b8ee9e65690f625003d5b3	0.0	18.0	15.0	0.0	15.0
3c5b98776352af85a5028b1eaccbbf9a	0.0	20.0	12.0	8.0	7.0
cbff7469028418f110f35b9e48e3ca52	13.0	7.0	0.0	20.0	6.0
5db2db5e92ac46c9912a57d353760cf4	23.0	0.0	0.0	23.0	0.0
efe2550439d61ae129034563416bb7d5	10.0	12.0	8.0	10.0	5.0
eeafd5c0c8e053d04b68096ad4b316c8	5.0	27.0	0.0	11.0	0.0
79fad05ca2c1eaa686fb2eae242b27ee	13.0	18.0	0.0	12.0	0.0
632399bfebdaeca23081292dd7f0211a	18.0	0.0	12.0	0.0	11.0
f1701b9c83ac66825c881046950d5e2f	40.0	0.0	0.0	0.0	0.0
d74b6eec71c13116871669322b60acbf	11.0	16.0	0.0	7.0	6.0
c01ad1f350d6ade63ece4269eddb780f	0.0	0.0	11.0	29.0	0.0
0aa07e7725830d01e78ab2fce1c1805f	16.0	0.0	0.0	18.0	4.0
094674fc3747f978c7d2c3f8381b36c8	6.0	18.0	0.0	13.0	0.0
ee1a2f82e5b8325cdebf99178a43a759	37.0	0.0	0.0	0.0	0.0
2bfc574724d4684c375716a1cf42fa4f	13.0	3.0	0.0	0.0	20.0
3b3efff56b3f203c62fa1e6a5075abae	0.0	0.0	4.0	0.0	32.0
6a96e335c1795e08327a60ec53eb7041	9.0	0.0	0.0	26.0	0.0
7a9d413bcdb2457e2c4256c972d482d9	0.0	35.0	0.0	0.0	0.0
243370e1f45152b4a680a679585454f2	0.0	0.0	0.0	21.0	14.0
684570709a57a33653181fc7ae189c3b	11.0	0.0	15.0	0.0	8.0
385ae8b222d5ed5f0e4920a36455e351	0.0	20.0	0.0	14.0	0.0
4291a0313e749e5de94b3170ad172d67	0.0	0.0	21.0	0.0	13.0
8ac721b8f731e2a9e9e25b9fe0769350	0.0	10.0	0.0	19.0	4.0
3807d1580e679c4224fb2808e538345c	7.0	0.0	20.0	5.0	0.0
e1d9ece9119fc6cd3c9f2bf996b17406	6.0	3.0	2.0	16.0	4.0
5393ba1929e72161640ddc2fb406409b	8.0	7.0	0.0	16.0	0.0
b91274c2ca53318231bf22949dc71954	8.0	13.0	10.0	0.0	0.0
25bf4042bc9a40f094f0ebb3485b68a4	0.0	6.0	9.0	16.0	0.0
5823bf53bdb28c09d8d16128bc300219	17.0	5.0	8.0	0.0	0.0
6841be5409a4b71465646d74943b264e	8.0	4.0	0.0	12.0	6.0
824747398d3c6fe9dbb03a2447ea8227	0.0	13.0	10.0	0.0	7.0
fbe78de64d736294506126424e9a3288	28.0	0.0	0.0	0.0	0.0
093399df79d08ef303d0a7b4f010a60b	13.0	4.0	0.0	0.0	11.0
2a12d512dc6a41c53e8acad16456c16d	0.0	0.0	0.0	28.0	0.0
8b2d328240233f91011a3ac1f7ae78ba	0.0	0.0	0.0	9.0	19.0
eb2c66917b80c1a98954d23236dd5323	9.0	0.0	12.0	6.0	0.0
b8bcc441745bafa8709ee03392e54556	8.0	0.0	0.0	7.0	12.0
a0fc714cc3ba078d28f061c4a1b1e75d	5.0	4.0	12.0	0.0	6.0
edaf3e7e9db4c35570f6e9169f55cf9d	0.0	0.0	0.0	27.0	0.0
3c2f089aebe8e464099f1e0a77b259e7	0.0	0.0	0.0	0.0	27.0
3e0b3421ed840319e8512f4b14f743a7	0.0	0.0	0.0	20.0	6.0
e4e3981dd258d0863d89383e97e9ffa0	19.0	6.0	0.0	0.0	0.0
b062625a2a374b7d8f4a70766588d82e	10.0	0.0	4.0	4.0	7.0
e1bc6b62422db587fb38db723f218f2f	0.0	0.0	14.0	0.0	11.0
54781b1e0a640ad4115fe2bfe299d495	14.0	0.0	0.0	10.0	0.0
2e40acc79019f485ee8a5a1fe9d44c2e	6.0	10.0	0.0	8.0	0.0
ce23fe86c852d088f6e585470d9caf08	0.0	5.0	6.0	0.0	13.0
d667fdf56160a8e44a23bbeb0d96060f	0.0	0.0	24.0	0.0	0.0
4be65c3691740acb3a4004831a6b27d7	0.0	0.0	0.0	0.0	24.0
cbf2d4d16c9fd744b201b0105c1269fb	0.0	11.0	0.0	0.0	12.0
b438b480ac628a2bd6492570c8572ee1	0.0	0.0	0.0	0.0	23.0
bbd7fab5b09b01039ffbd9a6600f2c45	10.0	7.0	0.0	5.0	0.0
082d6d86b5f0922b52665e74d5f57a8d	12.0	10.0	0.0	0.0	0.0
63d620d6dde4a6d02663b8d9f8713e10	5.0	4.0	11.0	2.0	0.0
fc6d778e1cb45588796810b72051cb45	6.0	0.0	6.0	10.0	0.0
8aac74d4bfcd3e762429b3d816f55b60	11.0	0.0	6.0	0.0	5.0
5c2656c44767c951640ecbbdc478eff0	0.0	0.0	13.0	0.0	9.0
612ba38af930a955d23d0f94a4e61db0	0.0	0.0	10.0	0.0	12.0
7d3f854d0190776ba3fe63d0be311cb6	13.0	0.0	0.0	0.0	8.0
dda99593d2793fa3237a87adf3520f4f	4.0	6.0	6.0	5.0	0.0
4767a2768fee7be73e1e79294fa0d53f	0.0	7.0	10.0	0.0	4.0
1ba91261271047f24cd5541fedb36a9a	0.0	0.0	21.0	0.0	0.0
2b07fc76b9b53a3f61a533b60a378060	0.0	0.0	21.0	0.0	0.0
d9199f913101f7986444675ad8acde4a	0.0	11.0	0.0	0.0	9.0
dc2efabcb92f5f77b061fe37620fb780	0.0	20.0	0.0	0.0	0.0
d1b13c8c3d5b619bdb057c552b01325b	14.0	5.0	0.0	0.0	0.0
e16ec4318d2121e30646e9d5f339ae38	0.0	19.0	0.0	0.0	0.0
ca2a6a2e96fda0ab046f6b26e3ddf942	0.0	0.0	19.0	0.0	0.0
d691710fb4cbc2466ef0268f06ee0695	0.0	0.0	19.0	0.0	0.0
34fd1720f4d420068bb7a8699dbdcf06	0.0	0.0	0.0	19.0	0.0
d1478f05d153dee0a8cfea8294cb446c	18.0	0.0	0.0	0.0	0.0
27ab974b0c70071aa37499b3aa1d99a0	5.0	3.0	4.0	0.0	6.0
ece2cac15f2df38770ec0deb4e6d7478	18.0	0.0	0.0	0.0	0.0
347c510cca549774a735c81afd14b4ed	5.0	4.0	0.0	5.0	4.0
0896b723177b33a50248bb5e88366614	3.0	9.0	0.0	0.0	6.0
e493643a44f579b8047b9aa98f445acc	0.0	11.0	7.0	0.0	0.0
e0b38d95e7c142ec2615f28b18a601ed	0.0	8.0	0.0	0.0	10.0
f5277225cac1a154e1cfc8b78a33fa83	0.0	5.0	5.0	8.0	0.0
a2c020533120869b7193c96b9080ef04	0.0	18.0	0.0	0.0	0.0
99277096c69c6b9e883783cb11ae383b	0.0	0.0	18.0	0.0	0.0
ef99d99a17ae14493cadee9a1de434af	0.0	0.0	12.0	0.0	6.0
8049b2d3e1d8545ebdd1003800c38db0	0.0	0.0	11.0	0.0	7.0
cc7ee012fc282b985dc6eadc247ddd62	6.0	0.0	11.0	0.0	0.0
24c2ae322d93c1ae8ade4b3e623c5160	0.0	17.0	0.0	0.0	0.0
83dfaa289bdd72969f53ed9f45037ffb	0.0	3.0	10.0	0.0	4.0
