Taxon	gutmock00	gutmock01	gutmock02	gutmock03	gutmock04
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Paraprevotella; s__Paraprevotella_clara	0.8174229883806188	0.8771125076178057	0.8488440287680958	0.8391518613940542	0.39613692481688284
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptostreptococcaceae; g__Intestinibacter; s__Intestinibacter_bartlettii	0.8058964597548051	0.34304699121249255	0.4163622832018054	0.3574273401278569	0.15661915786855835
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__Parasutterella; s__Parasutterella_excrementihominis	0.8014139208447666	0.5111301874799316	0.5899037290832828	0.25763946231256946	0.2957703945381659
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus_comes	0.7642728841615891	0.6955957615512146	0.8399268793749763	0.82485476778894	1.2541375287924632
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__Parabacteroides_merdae	0.7402592828578106	2.3643047646507607	3.3367287094484057	0.6909289317736858	0.6507540812761649
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-004; s__[Eubacterium]_hallii	0.7047191529282185	1.0586292536843966	0.5974490093389991	0.8487805162709678	0.7561537413918676
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Dysosmobacter; s__Dysosmobacter_welbionis	0.6851880905344787	0.6870769250932157	0.774420128063984	0.7110615737890508	0.5441701553164654
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_caccae	0.645485603045565	0.5799361742560762	3.9125707798733083	0.3690984369483583	0.6856899236740663
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Roseburia; s__Roseburia_inulinivorans	0.6394021573819411	1.0422468758805528	0.40058578812167106	0.8578256163068565	0.4056110515688562
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Monoglobus; s__Monoglobus_pectinilyticus	0.6166692814810308	0.5743661658027693	0.5473757858237903	0.700265809230087	0.48495686311663244
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Tyzzerella; s__Tyzzerella_nexilis	0.6045023901537832	0.16382377803843962	0.3011252756599548	0.0	0.30080352437515173
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_copri	0.5628788145605671	2.690314082947255	0.5837303179649693	5.829129306999448	4.300661412473872
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium; s__Phascolarctobacterium_faecium	0.5407863013610908	0.4157847486615598	0.5772139395623052	0.2941116398766365	0.22412231097636795
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__; g__Flintibacter; s__Flintibacter_butyricus	0.5238166897730875	0.4626383491805534	0.5988208784764021	0.33320981422531637	0.44735642256973845
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_buccalis	0.5209350576166341	0.05275125652837756	0.0	0.6045628153019751	0.11576198625067355
k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__Bilophila_wadsworthia	0.49532054955927035	0.5871444204897676	0.6979384236537677	0.507692711691813	0.5580852789834262
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__Barnesiella; s__Barnesiella_intestinihominis	0.48699583444062716	0.46165540651232284	0.7452679088941706	0.42774569847137806	0.45860694808770675
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_kribbi	0.48283347688130557	0.7355687633925938	0.9548209196324762	0.5651728635327826	0.31945571141809914
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Acidaminococcus; s__Acidaminococcus_intestini	0.46074096368182943	0.8597471871457312	0.36011564856828304	0.6004779314147995	0.8189198311236906
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_rodentium	0.45561806207035666	0.2863639640111924	0.4825549690814993	0.4216183726406148	0.2519525583102895
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Marseillibacter; s__Marseillibacter_massiliensis	0.4540171553167714	0.7198416807009037	0.3079846213469697	0.4968969471328492	0.38991952913590044
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__Blautia_caecimuris	0.4488942537052986	0.23230211725850736	0.061734111183134245	0.31716205609712683	0.33455510092905655
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_finegoldii	0.4412099012880896	0.5448778857558502	0.3196455090148951	0.3638464433791327	0.3517269556670082
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruthenibacterium; s__Ruthenibacterium_lactatiformans	0.42776228455797366	0.38695176372679435	0.6715299427587602	0.4178252661739519	0.7126319716249904
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Hungatella; s__Hungatella_hathewayi	0.4216788388943498	0.2850533737868849	0.4571753900395441	0.05981437120506992	0.279782805644211
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__Blautia_schinkii	0.40887158486566794	0.8289483168745044	0.628659032214917	0.8942977938709235	0.8861269177705012
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Conservatibacter; s__Conservatibacter_flavescens	0.3919019732776645	0.6765922032987556	0.2119537817287609	0.4382496856098294	0.19481173133745064
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus_eutactus	0.38998088517336216	1.9118234897085904	0.49901739873033507	1.317375053614101	0.47429847052066243
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Oscillibacter; s__Oscillibacter_ruminantium	0.37141036683177353	0.4465836189327864	0.2726589910588429	0.39856795642012444	0.6590439421841415
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerotignum; s__Anaerotignum_lactatifermentans	0.3650067398174326	0.4403583153673256	0.34639695719425323	0.2666845623484581	0.37097127563195387
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__Prevotella_stercorea	0.36276547036241324	0.368931148142566	0.12038151680711177	0.6497883154814181	0.16638935108153077
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Neglectibacter; s__Neglectibacter_timonensis	0.3582829314523746	0.5144066630407004	0.2706011873527384	0.3294167077586534	0.3834060669939188
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Caproiciproducens; s__Caproiciproducens_galactitolivorans	0.35604166199735526	0.4459283238206326	0.3117572614748279	0.16135291354343254	0.310277651127125
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerosporobacter; s__Anaerosporobacter_mobilis	0.3457958587744098	0.0629083307667608	0.0	0.26960233655358345	0.08053007739177291
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__; s__[Eubacterium]_siraeum	0.33907205040935184	0.45968952117586154	0.43625438569414865	0.4026528403073	0.47725913513065416
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Coprococcus; s__Coprococcus_catus	0.3211418947691973	0.5320996310688519	0.35394223744996967	0.40119395320473733	0.47015354006667415
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Roseburia; s__Roseburia_hominis	0.3198611693663291	0.34337463876856944	0.3254759528488577	0.2538463558459065	0.13678270498161427
k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Dialister; s__Dialister_invisus	0.31697953720987565	0.41676769132979036	0.4441426332342158	0.29761296892278694	0.17615954429450323
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerotignum; s__Anaerotignum_faecicola	0.3144180864041393	0.17529144250113038	0.15982275450744754	0.35655200786631924	0.27060474535323686
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__Ruminococcus_champanellensis	0.312496998299837	0.16513436826274713	0.35154146645951445	0.33291803680480386	0.3916959279018954
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriales_Family_XIII._Incertae_Sedis; g__Ihubacter; s__Ihubacter_massiliensis	0.30577318993477903	0.20346913232374197	0.4369403202628502	0.34663157556889307	0.3493584239790148
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Ruminococcus; s__Ruminococcus_callidus	0.3006502883233063	0.5357037541856975	0.3093564904843727	0.31920449804071466	0.2374453017213304
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Mediterraneibacter; s__Mediterraneibacter_faecis	0.3003301069725893	0.5609326160036172	0.45305978262733515	0.4446687888611052	0.30998158466612585
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__Alistipes_communis	0.29168521050322904	0.3997300184137927	0.2730019583431937	0.31278539478943884	0.2892569323961843
k__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__[Clostridium]_symbiosum	0.284321039436737	0.3702417383668735	0.6862775359858423	0.1966579814254494	0.4130127130938353
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__Porphyromonas_bennonis	0.2823999513324347	0.10026015215952504	0.0	0.1949073169023742	0.039080772851889795
