# Constructed from biom file
#OTU ID	gutmock00S01	gutmock01S01	gutmock02S01	gutmock03S01	gutmock04S01
1ad6328e6e0887cc03b5e92de3521212	31.0	18.0	16.0	36.0	27.0
227150a66a20144052651a21613100be	22.0	36.0	0.0	33.0	37.0
3534b4be198dac95882f6e730b647c60	41.0	0.0	24.0	28.0	34.0
4abaa483334092f021534a979086baeb	25.0	32.0	41.0	28.0	0.0
af3909edeceab197f554e240fe97af83	15.0	23.0	39.0	27.0	22.0
365d40757b7a146d54fb57f51f28657c	7.0	26.0	0.0	43.0	50.0
93b58b0ba0d326e9c8d1a81f8672c16a	16.0	34.0	31.0	25.0	19.0
0246885cf7157b74ba80daf1b827b996	21.0	31.0	40.0	27.0	0.0
4afcdc6dfdf4d4eb76054557d89dfad6	18.0	28.0	38.0	17.0	18.0
e78652a2027cf276c50e6f18ba43a181	10.0	32.0	27.0	15.0	35.0
1c1c2dd95299d9f9c2d969551673bae8	0.0	0.0	33.0	38.0	47.0
d9d2f801acfc9bec01df068293df6b94	41.0	34.0	42.0	0.0	0.0
e6d37de1c5fe663010cbf74111c01304	13.0	28.0	40.0	30.0	6.0
06419b4ffeec12dab87f7c15910ac5e8	0.0	48.0	26.0	10.0	31.0
7862462431c2d710680a356852bbcafa	16.0	11.0	0.0	83.0	3.0
9243bc95f3bb4eba8fabc522fa335a7f	0.0	0.0	76.0	0.0	37.0
8eb4e34fd58ab95fa2efab34940c01fa	0.0	0.0	0.0	55.0	57.0
440f0421c62d496c568ea76483e05084	17.0	6.0	6.0	82.0	0.0
3e93687b8cd83adb12e013fac46aab64	7.0	13.0	79.0	10.0	0.0
9c9cfdfa3e94c6c347710c7b831f30d2	0.0	23.0	43.0	42.0	0.0
df5c1ef25ab497ab767dcbb6be082f83	59.0	27.0	0.0	18.0	0.0
7b5abfbc77bdae8ff28e18062acaf77f	26.0	15.0	24.0	13.0	24.0
dba56507dc9d57f4d2c6d878304f3a7d	19.0	0.0	39.0	24.0	20.0
b74ab6944f5a7e98a99e29bcbea455c0	55.0	33.0	0.0	12.0	0.0
f15d0811f42583d8c5a62800627d7f25	46.0	39.0	0.0	0.0	13.0
280d27c16aae04e5916267ec1b66f18b	13.0	40.0	8.0	28.0	9.0
9be8e4d4919ec569eb355cb676c02eef	22.0	18.0	28.0	9.0	20.0
5207023275b891ef37f87a0ec090c4c0	20.0	8.0	26.0	20.0	22.0
fd0a83255e0a66f06aa02d04f1b935e0	16.0	17.0	20.0	22.0	19.0
927948a3ccf40d7671afc0d5334d3eb6	0.0	0.0	0.0	41.0	53.0
17eb840260a1c54893edfde747b5be4a	15.0	32.0	12.0	15.0	19.0
9eaff8c3aca7b74962decea682803d9c	40.0	0.0	0.0	36.0	16.0
990ca7dc83ec1f7499b25325f985cce0	0.0	0.0	0.0	0.0	91.0
76fcaf7488ae2633c73037ef5546bee1	11.0	8.0	33.0	16.0	22.0
82c448c1808ec28bd3b550b0460519cb	32.0	0.0	29.0	0.0	28.0
0a49a32752b611a144ddd506a2155134	10.0	25.0	0.0	40.0	12.0
225585dd8c7d007daa1ae8baa397c9a7	21.0	16.0	23.0	11.0	14.0
d912c06073abdb9d980ecf2806a51c26	20.0	18.0	29.0	9.0	8.0
54a61742b51e8332f94f6aa0a973e70c	0.0	0.0	21.0	44.0	19.0
f75f2cdd29ab1d08a7569f16014e4365	19.0	0.0	7.0	21.0	36.0
d6bff94349f93df9c98368bfbc740ed0	6.0	18.0	28.0	13.0	18.0
4b6486766b7a76e7f1fbea71c7481295	47.0	33.0	0.0	0.0	0.0
f12a0a185eac530144304b1b954cfcd7	4.0	29.0	18.0	6.0	23.0
bbe241f06ffd98ca4e1ce00701f0f454	0.0	0.0	0.0	0.0	79.0
66d5d9f8947998d5f49d929f0ad8013b	17.0	13.0	10.0	0.0	38.0
5a0ded8318b612ec9124d561da65efb2	0.0	18.0	23.0	20.0	16.0
77c76da8a1d97a35f432b351cb88bd06	0.0	18.0	0.0	0.0	59.0
657e7b84024e6fc2332d140421e4be7f	35.0	6.0	0.0	27.0	8.0
2db5ff795ad81b820216c1b79a1df48a	0.0	40.0	0.0	35.0	0.0
218f40f443caf002f5ad5aa59ee08859	32.0	20.0	0.0	0.0	22.0
ca60f9527111263bca48622331f2b3f6	14.0	14.0	28.0	8.0	10.0
96ed6cb0d5f3bea4c7d87104acc9052d	0.0	38.0	19.0	0.0	17.0
8f5861dd05ff347032a565cd7ad31870	24.0	6.0	0.0	35.0	6.0
11902be998c8092e98cbe98af2f648af	0.0	43.0	28.0	0.0	0.0
77c272dbcb42643773a3eee810faf8ca	25.0	0.0	9.0	22.0	13.0
47d74904a190fe918c6eea86295320d2	0.0	0.0	54.0	0.0	13.0
eda97bc079875dfc6a8076ecda9ee77e	37.0	0.0	0.0	27.0	0.0
5bd72dc839fc73528c45596ca62b77f8	11.0	20.0	19.0	0.0	14.0
33f8450a6a1ca843cacb2d9a56cf5be4	15.0	7.0	17.0	6.0	18.0
222e21f6500d5e0aa66f371387a91193	0.0	17.0	0.0	16.0	30.0
275a909b71518ce743cea6406287671e	0.0	0.0	16.0	19.0	25.0
7a1a7d3362a2f4e3bb2b0f088b9a6b84	8.0	12.0	21.0	10.0	8.0
f8fe99bb3b5e94ba7e59d62f387c4f19	0.0	22.0	19.0	0.0	18.0
8e343cc0580be48157bc91396375c5d8	9.0	0.0	17.0	14.0	18.0
acd8e9fbf3ac9220d789d9a7950c4fab	0.0	0.0	0.0	24.0	34.0
3a71e9a054fdfb756bfc1881602b808d	17.0	0.0	15.0	15.0	10.0
5287d8ae64d1e964b0bb7c203d98e154	26.0	0.0	0.0	0.0	30.0
b700c25d64104727df230b3446f6439e	55.0	0.0	0.0	0.0	0.0
0f11ad9d5be83842b10a88041d80737b	20.0	0.0	0.0	28.0	6.0
abcc0933ce0c53b897fe662537c284f5	0.0	54.0	0.0	0.0	0.0
b6181754e235bdbb1d792c568a85c2bd	0.0	0.0	0.0	48.0	5.0
096cb1590806c25cc3cef9da6f82ed9a	20.0	19.0	0.0	6.0	6.0
fd17abff9540ff5eac53f965859c4883	21.0	10.0	0.0	0.0	19.0
5e1b74f7cd80c3ae3447689da2075198	13.0	0.0	0.0	12.0	25.0
6c2d19b1f93bb05af4652da117fab03a	0.0	0.0	0.0	0.0	50.0
160fe1c30fce2666a569aa3cbc49bc43	0.0	19.0	0.0	13.0	17.0
44eb603ac11f6bad4a83878080a29a69	14.0	4.0	0.0	22.0	7.0
37453085adfe208e105f0236b407f59a	0.0	0.0	47.0	0.0	0.0
379db11ef35f495703e9f9772f9332ab	0.0	0.0	0.0	0.0	47.0
b6006152f837ccbba71032c4f3f4cc6a	0.0	0.0	0.0	19.0	27.0
bc0730096682c48820678c59700fe66f	20.0	0.0	0.0	12.0	13.0
a60729eeae333844894c4a8389f6593e	16.0	7.0	0.0	18.0	4.0
1e9009aa3d4fee3015a4f0881afb28a9	6.0	14.0	5.0	12.0	7.0
608ebe0051f9a43473d71082ad13908a	0.0	0.0	0.0	0.0	44.0
972a4a846e0bc95afe212b39156016d6	5.0	27.0	0.0	11.0	0.0
3678d26eb8e3fd26e603acd051347085	8.0	7.0	4.0	19.0	4.0
4ec189ed638989a4944b01ddff111968	13.0	3.0	0.0	4.0	20.0
40dd9b9e7ddc69919cef4d2710bfb892	11.0	13.0	6.0	6.0	4.0
d0377d9209ed8843c1b85df7bc622a2c	0.0	12.0	8.0	20.0	0.0
d77e201b614d8eb4b48a750a9f21b495	0.0	0.0	11.0	29.0	0.0
5341c233d882bf7dc2dfc17e7a92c8d2	0.0	20.0	12.0	0.0	7.0
41f559b325dd90353842240687c5c015	0.0	0.0	12.0	26.0	0.0
c5ccea21b43ffc03a1ab4d769be69f09	0.0	0.0	0.0	28.0	9.0
c0bf9cf733c70f30ebb5c2ff44e38248	10.0	0.0	15.0	11.0	0.0
be47ab912c00da4efc098ad913fbcbf6	0.0	23.0	13.0	0.0	0.0
91058ff943f076db0f6411c83247e8c5	10.0	9.0	6.0	4.0	6.0
8bcbcf25ccc2d50cc61aeae7dcbfaefe	9.0	0.0	0.0	26.0	0.0
82b97d3e4042196df9c0257bf665fa64	0.0	0.0	35.0	0.0	0.0
746943e4d0cf9448eb790437173a632c	9.0	10.0	0.0	9.0	6.0
750438ef469a6a58cdf16b89f540188b	7.0	13.0	10.0	4.0	0.0
710d84135488543588965e87a15b6f17	0.0	6.0	0.0	0.0	28.0
